period_date,total_return,price_return,dividend_yield,notes
2025-07-01,2.24,2.17,1.8,July 2025 S&P 500 returns
2025-06-01,3.49,3.37,1.8,June 2025 S&P 500 returns
2025-05-01,4.78,4.64,1.8,May 2025 S&P 500 returns
2025-04-01,-4.08,-4.20,1.8,April 2025 S&P 500 returns
2025-03-01,3.15,3.02,1.8,March 2025 S&P 500 returns
2025-02-01,2.76,2.64,1.8,February 2025 S&P 500 returns
2025-01-01,-0.94,-1.06,1.8,January 2025 S&P 500 returns
2024-12-01,1.07,0.96,1.8,December 2024 S&P 500 returns
2024-11-01,1.67,1.55,1.8,November 2024 S&P 500 returns
2024-10-01,-0.99,-1.09,1.8,October 2024 S&P 500 returns